Suburb,Pharmacy name,Address,Postcode,Phone,Local Government Area,Service
Liverpool,Discount Chemist Outlet Liverpool,235-243 Macquarie Street,2170,(02) 8711 0901,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Liverpool,Chemist Warehouse Liverpool,129 Terminus Street,2170,(02) 9734 9122,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Liverpool,Save And Deliver Liverpool Pharmacy,1/279 Macquarie Street,2170,(02) 9821 1942,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Liverpool,Chemist Warehouse Liverpool Westfield,"Shop 149/51, Macquarie Street",2170,(02) 9601 4061,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Liverpool,Priceline Pharmacy Liverpool Westfield,Shop 1014 Westfield Liverpool Shopping Centre Macquarie Street,2170,(02) 9822 8885,Liverpool City Council,Urinary tract infection
Liverpool,Chemist Warehouse The Grove Liverpool,Units 3-6 18 Orange Grove Road,2170,(02) 9601 3388,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Long Jetty,John's Pharmacy,338 The Entrance Road,2261,(02) 4332 7500,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Luddenham,Luddenham Pharmacy,IGA Luddeham Plus Liquor2130 The Northern Road,2745,(02) 4773 3188,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Lugarno,Lugarno Pharmacy,1020 Forest Road,2210,(02) 9153 7343,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Lurnea,Lurnea Discount Drug Store,1/54 Hill Road,2170,(02) 9607 6004,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
MaNonela,Manilla Caremore Pharmacy,"Suite 3, 161 Manilla Street",2346,(02) 6785 1651,Tamworth Regional Council,"Urinary tract infection, Oral contraceptive pill"
Macksville,Wallace Street Pharmacy,7 Wallace Street,2447,(02) 6568 1010,Nambucca Valley Council,"Urinary tract infection, Oral contraceptive pill"
Maclean,Advantage Pharmacy Maclean,60 River Street,2463,(02) 6645 4425,Clarence Valley Council,"Urinary tract infection, Oral contraceptive pill"
Macquarie Park,TerryWhite Chemmart Lachlan's Square Village,"Shop 3, 17 Halifax Street",2113,(02) 9189 9500,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
Maitland,Priceline Pharmacy Maitland,44 Elgin Street,2320,(02) 4933 9190,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Maitland,TerryWhite Chemmart Maitland,425 High Street,2320,(02) 4934 1025,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Malabar,Malabar Community Pharmacy,1218 Anzac Parade,2036,(02) 9311 3677,Randwick City Council,"Urinary tract infection, Oral contraceptive pill"
Mangrove Mountain,Mangrove Mountain Pharmacy,4/1 Waratah Road,2250,(02) 4374 1457,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Manly,Manly Corso Pharmacy,72 The Corso,2095,(02) 9977 6397,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Manly,Malouf Manly Pharmacy,15 The Corso,2095,(02) 9977 1029,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Manly,Manly Community Pharmacy,10/15-25 Wentworth Street,2095,(02) 8068 3399,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Manly,Chemist Warehouse Manly,52-58 The Corso,2095,(02) 9977 3043,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Manly Vale,Manly Vale Pharmacy,339 Condamine Street,2093,(02) 9948 5184,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Mannering Park,Mannering Park Pharmacy,3/72 Vales Road,2259,(02) 4359 1662,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Manuka,The Pharmacy On Franklin,"18-20 Franklin St, Manuka",2603,(02) 6162 0007,Australian Capital Territory,"Urinary tract infection, Oral contraceptive pill"
Marayong,Marayong Pharmacy,56 Railway Road,2148,(02) 9622 1232,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Maroubra,Priceline Pharmacy Maroubra,13-15/737 Anzac Parade,2035,(02) 9349 4168,City of Randwick,"Urinary tract infection, Oral contraceptive pill"
Maroubra,Pagewood Pharmacy,Shop 2/16 Maroubra Road,2035,(02) 9349 7053,Randwick City Council,Oral contraceptive pill
Marrickville,Savemore Discount Chemist,311 Illawarra Road,2204,(02) 9559 3117,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Marrickville,TerryWhite Chemmart Marrickville,280 Marrickville Road,2204,(02) 9560 2488,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Marrickville,Priceline Pharmacy Marrickville,Shop 11/20 Smidmore Street,2204,(02) 9519 1155,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Marrickville,Blooms the Chemist Marrickville,251 Marrickville Road,2204,(02) 9560 2350,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Marrickville,Pharmacy 4 Less Marrickville Road,199 Marrickville Road,2204,(02) 7227 5313,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Marrickville,Pharmacy 4 Less Marrickville Metro,"Shop 1001 Level 1, 20 Smidmore Street",2204,(02) 9188 4016,Inner West Council,"Urinary tract infection, Oral contraceptive pill"
Marsden Park,Medicines R Us Chemist Marsden Park,1/9 Hollinsworth Road,2765,(02) 9626 9111,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Marsden Park,Priceline Pharmacy Marsden Park,"Shop 1, 101 Elara Boulevard",2765,(02) 9068 1930,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Marulan,Marulan Pharmacy,Shop 2/50-52 George Street,2579,(02) 4841 1622,Goulburn Mulwaree Council,"Urinary tract infection, Oral contraceptive pill"
Maryland,TerryWhite Chemmart Maryland,"Shop 2, 144 Maryland Drive",2287,(02) 4955 0909,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Mascot,Airport Pharmacy Landslide,"Shop 2, 1684, Sydney International Terminal 1",2020,(02) 9669 1580,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Mascot,Airport Domestic Pier B Pharmacy,Shop 2T/459 Sydney Domestic Airport Terminal 2M,2020,(02) 9700 9666,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Mascot,Airport Express Pharmacy,Shop 2A/194 Sydney Airport Domestic Terminal 2,2020,(02) 9693 2131,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Mascot,Priceline Pharmacy Mascot,7/33 Kent Road,2020,(02) 9693 1830,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Mascot,Cincotta Discount Chemist Mascot,944-946 Botany Road,2020,(02) 9667 4183,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Mascot,Sydney International Pier C Pharmacy,Sydney International Terminal 1Shop C2-144 (Airside),2020,(02) 8338 8871,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Matraville,HealthSave Pharmacy Matraville,496 Bunnerong Road,2036,(02) 9311 1600,Randwick City Council,Urinary tract infection
Matraville,TerryWhite Chemmart Matraville,Shop 6/495-503 Bunnerong Road,2036,(02) 9311 1686,City of Randwick,"Urinary tract infection, Oral contraceptive pill"
Mayfield,Priceline Mayfield Pharmacy,Shop 1a/230 Maitland Road,2304,(02) 4968 2305,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Mayfield,Blooms the Chemist Mayfield,179A Maitland Road,2304,(02) 4967 2211,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Mayfield,Chemist Warehouse Mayfield,95-97 Maitland Road,2304,(02) 4968 2983,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
McMahons Point,Blues Point Road Pharmacy,1/1376 Blues Point Road,2060,(02) 8920 1120,North Sydney Council,"Urinary tract infection, Oral contraceptive pill"
Meadowbank,Cincotta Discount Chemist Meadowbank,"Shop 6, 2/11A Bay Drive",2114,(02) 9809 4350,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
Medowie,Chemist Outlet Medowie,"Shop 7, 8 Peppertree Road",2318,(02) 4982 9516,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Medowie,Medowie Pharmacy,"Shop 17, 37C Ferodale Road",2318,(02) 4982 8564,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Menai,Menai Discount Drug Store,Shop C1.04 5-21 Carter Road,2234,(02) 9543 9983,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Menai,Priceline Pharmacy Menai,"Shop T04, 152-194 Allison Crescent",2234,(02) 9543 7033,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Merewether,Merewether Pharmacy,"Shop 1, 25-29 Llewellyn Street",2291,(02) 4963 1285,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Merimbula,Dodd & Dwyer Merimbula Pharmacy,32 Market Street,2548,(02) 6495 1244,Bega Valley Shire Council,"Urinary tract infection, Oral contraceptive pill"
Merrewether,Piggotts Pharmacy Merewether,400 Glebe Road,2303,(02) 4969 1978,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Merrylands,TerryWhite Chemmart Merrylands,184-186 Pitt Street,2160,(02) 9637 4673,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Merrylands,Priceline Pharmacy Merrylands,"Shop 1090, Mcfarlane Street",2160,(02) 9637 8999,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Merrylands,Cincotta Discount Chemist Stockland Merrylands,"Shop 1050, Mcfarlane Street",2160,(02) 9682 5558,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Miller,Blooms the Chemist Miller,"Shop 46-48, Miller Central, 90 Cartwright Avenue",2168,(02) 9607 7204,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Milperra,Amcal Milperra Pharmacy,"Shop 7, 8/6 Bullecourt Avenue",2214,(02) 9771 4568,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Milton,TerryWhite Chemmart Milton,75 Prince Highway,2538,(02) 4455 1435,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Minchinbury,Minchinbury Pharmacy,"Shop 5, 36-38 Minchin Drive",2770,(02) 9832 1679,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Minto,Priceline Pharmacy Minto,21/10 Brookfield Road,2566,(02) 8798 9148,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
Miranda,Chemist Warehouse Miranda,Shop 1/589 Kingsway,2228,(02) 9540 1070,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Miranda,Priceline Pharmacy Miranda,Shop 1002/600 Kingsway,2228,(02) 9540 5482,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Miranda,Blooms the Chemist Miranda,"Shop 2089, Westfield Miranda 600, Kingsway",2228,(02) 9524 7691,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Miranda,Bob Harrison TerryWhite Chemmart Pharmacy Miranda,Shop 1078-1080/600 Kingsway,2228,(02) 9524 7200,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Miranda,Clinic Pharmacy,"Shop 1, 88-90 Kiora Road",2228,(02) 9524 4394,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Mittagong,Priceline Pharmacy Mittagong,"Shop 4, Highlands Market Place Old Hume HWY &, Roscoe St, Mittagong NSW 2575",2575,(02) 4872 3455,Wingecarribee Shire Council,"Urinary tract infection, Oral contraceptive pill"
Mittagong,Capital Chemist Mittagong,2 Bowral Road,2575,(02) 4871 1480,Wingecarribee Shire Council,"Urinary tract infection, Oral contraceptive pill"
Mittagong,Mittagong Day And Night Pharmacy,9/130 Main Street,2575,(02) 4871 1818,Wingecarribee Shire Council,"Urinary tract infection, Oral contraceptive pill"
Mollymook,Mollymook Pharmacy And Newsagency,5/85 Tallwood Avenue,2539,(02) 4455 3425,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Molong,Molong Pharmacy,43-45 Bank Street,2866,(02) 6366 8669,Cabonne Council,"Urinary tract infection, Oral contraceptive pill"
Mona Vale,Priceline Pharmacy Mona Vale,"Shop 8 & 9, 10 Park Street",2103,(02) 9979 4766,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Mona Vale,Plunketts Pharmacy,9/17 Bungan Street,2103,(02) 9997 4488,Northern Beaches Council,Oral contraceptive pill
Mona Vale,Healthylife Pharmacy Mona Vale,1/1785 Pittwater Road,2103,(02) 9999 3598,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Mona Vale,Pittwater Pharmacy,1771 Pittwater Road,2103,(02) 9999 3398,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Mona Vale,TerryWhite Chemmart Mona Vale,Shop 1/11 Waratah Street,2103,(02) 9997 5337,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Moonee Beach,Moonee Beach Pharmacy,Shop 10 2B Moonee Beach Road,2450,(02) 6656 4044,Coffs Harbour City Council,"Urinary tract infection, Oral contraceptive pill"
Moorebank,Moorebank Amcal Pharmacy,1/42 Stockton Avenue,2170,(02) 9602 3255,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Moorebank,Moorebank Day and Night Pharmacy,Shop 21/42 Stockton Avenue,2170,(02) 9602 4476,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Moree,Priceline Pharmacy Moree,Shop 2/215 Balo Street,2400,(02) 6751 1425,Moree Plains Shire Council,"Urinary tract infection, Oral contraceptive pill"
Moree,Moree Amcal Pharmacy,1/97 Balo Street,2400,(02) 6752 2577,Moree Plains Shire Council,"Urinary tract infection, Oral contraceptive pill"
Morisset,Priceline Pharmacy Morriset,"Shop 9-11, 35 Yambo Street",2264,(02) 4973 1539,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Morisset,Morriset Main Street Pharmacy,91/93 Dora Street,2264,(02) 4973 4811,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Morpeth,Morpeth Pharmacy,141 Swan Street,2321,(02) 4933 6229,Maitland City Council,"Urinary tract infection, Oral contraceptive pill"
Mortdale,Diana's Pharmacy Mortdale,2/84D Roberts Avenue,2223,(02) 9586 0100,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Mortdale,The Heritage Pharmacy,4/23A Morts Road,2223,(02) 9580 2771,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Mortdale,Mortdale Pharmacy,4A Morts Road,2223,(02) 9580 1631,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Moruya,Moruya Pharmacy,48 Vulcan Street,2537,(02) 4474 2018,Eurobodalla Shire Council,"Urinary tract infection, Oral contraceptive pill"
Moruya,Ballards Pharmacy,"Shop 4, 4 Ford Street",2537,(02) 4474 2064,Eurobodalla Shire Council,"Urinary tract infection, Oral contraceptive pill"
Mosman,Priceline Pharmacy Mosman,22 Spit Road,2088,(02) 9969 6194,Mosman Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Mosman,Brunskills Pharmacy,886 Military Road,2088,(02) 9969 4155,Mosman Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Mosman,Bridgepoint Pharmacy,"Shop 28, 1-3 Brady Street",2088,(02) 9968 2231,Mosman Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Mosman,393 Pharmacy,393 Military Road,2088,(02) 9969 1345,Mosman Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Mosman,Shane Henry Amcal Pharmacy,783 Military Road,2088,(02) 99692149,Mosman Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Mosman,Cranes Pharmacy Mosman,62 Avenue Road,2088,(02) 9969 4700,Mosman Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Mosman,Cremorne Pharmacy,"49c Spofforth Street, Mosman",2088,(02) 9953 1503,Mosman Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Mosman,Mosman Prescription Centre,"Shop 2, 685 Military Road",2088,(02) 9960 1990,Mosman Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Mosman,TerryWhite Chemmart Mosman,2/2-6 Spit Road,2088,(02) 99694995,Mosman Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Moss Vale,Moss Vale Community Pharmacy,412 Argyle Street,2577,(02) 4868 1293,Wingecarribee Shire Council,"Urinary tract infection, Oral contraceptive pill"
Moss Vale,Moss Vale Village Pharmacy,12 Clarence Street,2577,(02) 4869 4800,Wingecarribee Shire Council,"Urinary tract infection, Oral contraceptive pill"
Moss Vale,Nick Knowles Pharmacist Advice,"Shop 3, 17-19 Clarence Street",2577,(02) 4868 1005,Wingecarribee Shire Council,"Urinary tract infection, Oral contraceptive pill"
Mount Annan,Pharmacy Focus Mount Annan,25/11-13 Main Street,2567,(02) 4647 4820,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Mount Hutton,Chemist Warehouse Lake Macquarie,"Shop T44, Wilson Road",2290,(02) 4948 4411,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Mount Hutton,Pharmacy 4 Less Mount Hutton,"Shop 69, Lake Macquarie Fair, Wilsons Road",2290,(02) 4017 2605,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Mount Pritchard,Mount Pritchard Pharmacy,48 Meadows Road,2170,(02) 9610 4417,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Mt Druitt,Priceline Pharmacy Mount Druitt,"Shop 19-20, Corner Carlisle Avenue and Luxford Road",2770,(02) 9832 0700,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Mt Druitt,Mt Druitt Pharmacy,7 Mt Druitt Road,2770,(02) 9625 8282,Blacktown City Council,Urinary tract infection
Mudgee,TerryWhite Chemmart Mudgee,16 Church Street,2850,(02) 6372 1569,Mid-Western Regional Council,"Urinary tract infection, Oral contraceptive pill"
Mudgee,Mudgee Pharmacy,96 Church Street,2850,(02) 6372 2224,Mid-Western Regional Council,Urinary tract infection
Mudgee,Blooms the Chemist Mudgee,46-50 Church Street,2850,(02) 6372 4227,Mid-Western Regional Council,"Urinary tract infection, Oral contraceptive pill"
Mulgoa,Mulgoa Pharmacy,"Shop 8, 1216 Mulgoa Road",2745,(02) 4773 8685,Penrith City Council,Urinary tract infection
Mullumbimby,Mullum Chemsave,18 Burringbar Street,2482,(02) 6684 6226,Byron Shire Council,Urinary tract infection
Mulwala,Mulwala Pharmacy,Shop 2/47 Melbourne Street,2647,(03) 5743 1777,Federation Council,"Urinary tract infection, Oral contraceptive pill"
Murrumbateman,Murrumbateman Pharmacy & Medical,5 Hercules Street,2582,(02) 6227 5559,Yass Valley Council,"Urinary tract infection, Oral contraceptive pill"
Murrurundi,Murrurundi Pharmacy,73 Mayne Street,2338,(02) 6546 6502,Upper Hunter Shire Council,Oral contraceptive pill
Murwillumbah,Varela & Swift Pharmacy,80 Main Street,2484,(02) 6672 2388,Tweed Shire Council,"Urinary tract infection, Oral contraceptive pill"
Murwillumbah,Sunnyside Soul Pattinson Chemist Murwillumbah,"Shop 14, 27 Wollumbin Street",2484,(02) 6672 3323,Tweed Shire Council,Urinary tract infection
Murwillumbah,Mapp & Hession Pharmacy,14 King Street,2484,(02) 6672 1394,Tweed Shire,"Urinary tract infection, Oral contraceptive pill"
Murwillumbah,Priceline Pharmacy Murwillumbah,72 Murwillumbah Street,2484,(02) 6672 1038,Tweed Shire,"Urinary tract infection, Oral contraceptive pill"
Muswellbrook,HealthSave Muswellbrook Pharmacy,47 Bridge Street,2333,(02) 6543 3230,Muswellbrook Shire Council,"Urinary tract infection, Oral contraceptive pill"
Muswellbrook,Muswellbrook Chemist,"Shop 1-4, 22 Sowerby St",2333,(02) 6541 0999,Muswellbrook Shire Council,"Urinary tract infection, Oral contraceptive pill"
Nambucca Heads,Nambucca Heads Pharmacy,28 Bowra Street,2448,(02) 6568 6065,Nambucca Valley Council,"Urinary tract infection, Oral contraceptive pill"
Nambucca Heads,Nambucca Plaza Pharmacy,"Shop 15, 2191 Giinagay Way",2448,(02) 6568 6822,Nambucca Valley Council,"Urinary tract infection, Oral contraceptive pill"
Nambucca Heads,TerryWhite Chemmart Nambucca Heads,24 Ridge Street,2448,(02) 6568 6018,Nambucca Valley Council,"Urinary tract infection, Oral contraceptive pill"
Narellan,TerryWhite Chemmart Narellan Town,"Shop 12, 326 Camden Valley Way and Somerset Avenue",2567,(02) 4646 1677,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Narellan,Narellan Chemist,44-48/326 Camden Valley Way,2567,(02) 4647 1430,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Narellan,Amcal + Narellan Medical Centre Pharmacy,1/19 Queen Street,2567,(02) 4607 7037,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Narooma,Narooma Pharmacy,"Shop 3, 30-32 Princes Highway",2546,(02) 4476 2380,Eurobodalla Shire Council,"Urinary tract infection, Oral contraceptive pill"
Narooma,Capital Chemist Narooma,"Shop 4, 185 Princes Highway",2546,(02) 4476 2056,Eurobodalla Shire Council,"Urinary tract infection, Oral contraceptive pill"
Narrabeen,Narrabeen Pharmacy,67-69 Waterloo Street,2101,(02) 9913 7171,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Narrabi,Narrabri Pharmacy,127 Maitland Street,2390,(02) 6792 2105,Narrabri Shire Council,"Urinary tract infection, Oral contraceptive pill"
Narrabri,Camstart Pharmacy,118-120 Maitland Street,2390,(02) 6792 2178,Narrabri Shire Council,"Urinary tract infection, Oral contraceptive pill"
Narrandera,TerryWhite Chemmart Narrandera,58 East Street,2700,(02) 6959 1099,Narrandera Shire Council,"Urinary tract infection, Oral contraceptive pill"
Narrandera,Capital Chemist Narrandera,125 East Street,2700,(02) 6959 2091,Narrandera Shire Council,"Urinary tract infection, Oral contraceptive pill"
Narromine,Narromine Pharmacy,53 Dandaloo Street,2821,(02) 6889 1039,Narromine Shire Council,"Urinary tract infection, Oral contraceptive pill"
Narwee,Narwee Pharmacy,"Shop 1, 141 Penshurst Road",2209,(02) 9153 7564,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Narwee,Family Care Pharmacy Narwee,62-64 Broad Arrow Road,2209,(02) 9153 9772,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Nelson Bay,Nelson Bay Discount Drug Store,"Woolworths Shopping Centre, Shop 1, Donald Street",2315,(02) 4981 1237,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Nelson Bay,TerryWhite Chemmart Nelson Bay,Shop 5 / 16 Stockton Street,2315,(02) 4984 2445,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Neutral Bay,Neutral Bay Pharmacy,177 Military Road,2089,(02) 9953 2695,Mosman Municipal Council,"Urinary tract infection, Oral contraceptive pill"
Neutral Bay,Cincotta Chemist Neutral Bay,116 Military Road,2089,(02) 9953 0609,North Sydney Council,"Urinary tract infection, Oral contraceptive pill"
New Lambton,Strachans Pharmacy,257 Lambton Road,2305,(02) 4957 1405,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
New Lambton,Piggotts Blackbutt Pharmacy,58 Orchardtown Road,2305,(02) 4957 2474,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Newcastle,Bagga's Pharmacy Newcastle,178 Hunter Street Mall,2300,(02) 4929 1758,City of Newcastle,Urinary tract infection
Newcastle,Docs Megasave Chemist,23 Steel Street,2302,(02) 4926 3300,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Newcastle,City Pharmacy,53 Hunter Street,2300,(02) 4929 2866,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Newcastle,Chemist Warehouse Newcastle,136-140 Hunter Street,2300,(02) 4927 8966,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Newport,Your Community Pharmacy Newport,Shop3/1 Kalinya Street,2106,(02) 9999 1186,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Newport,Newport Pharmacy,347 Barrenjoey Road,2106,(02) 9999 1553,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Newtown,Carillon Compounding Pharmacy,100 Carillon Avenue,2042,(02) 9519 4247,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Newtown,Chemist on King,205 King Street,2042,(02) 9557 2646,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Nicholls,Gold Creek Discount Drug Store,3/46 O'Hanlon Place,2913,(02) 6253 9702,Australian Capital Territory,"Urinary tract infection, Oral contraceptive pill"
Nimbin,Nimbin Village Pharmacy,56 Cullen Street,2480,(02) 6689 1448,Lismore City Council,"Urinary tract infection, Oral contraceptive pill"
North Balgowlah,North Balgowlah Pharmacy,10/44 Woodbine Street,2093,(02) 9948 6178,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
North Bondi,Roper's Seaside Pharmacy,31 Campbell Parade,2026,(02) 9130 1557,Waverley Council,"Urinary tract infection, Oral contraceptive pill"
North Nowra,North Nowra Amcal Pharmacy,Shop 9-10 McMahons Road,2541,(02) 4421 5100,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
North Parramatta,Priceline Pharmacy North Parramatta,"Shop 1, 460 Church Street",2151,(02) 9630 3691,"Parramatta, Council of the City of","Urinary tract infection, Oral contraceptive pill"
North Richmond NSW,TerryWhite Chemmart North Richmond,"Shop 8, Bells Line of Rd",2754,(02) 4571 1617,Hawkesbury City Council,"Urinary tract infection, Oral contraceptive pill"
North Rocks,Priceline Pharmacy North Rocks,"Shop 22-25, 328 North Rocks Road",2151,(02) 9872 1979,"Parramatta, Council of the City of","Urinary tract infection, Oral contraceptive pill"
North Ryde,Amcal Pharmacy Macquarie Centre,Shop 3343 Herring Road,2113,(02) 9887 1215,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
North Ryde,Health Advice Pharmacy,136 Coxs Road,2113,(02) 9888 7086,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
North Ryde,North Ryde Pharmacy,Shop 18/203 Cox's Road,2113,(02) 9878 1117,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
North Ryde,Blenheim Road Pharmacy,8 Blenheim Road,2113,(02) 9888 1888,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
North Ryde,Priceline Pharmacy Macquarie Centre,Shop U11 Macquarie Centre,2113,(02) 9887 1115,Council of the City of Ryde,"Urinary tract infection, Oral contraceptive pill"
North Strathfield,Concord Road Pharmacy,197 Concord Road,2137,(02) 9743 2222,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
North Sydney,Priceline Pharmacy North Sydney,"Shop 1-2, 111 Pacific Highway",2060,(02) 9955 1454,North Sydney Council,"Urinary tract infection, Oral contraceptive pill"
North Sydney,Chemist Warehouse North Sydney,Shops 2 3 & 6 Floor Level 2 68 Walker Street,2060,(02) 8381 4553,North Sydney Council,"Urinary tract infection, Oral contraceptive pill"
North Sydney,Drews Pharmacy,"Shop 3A, 2 Elizabeth Plaza",2060,(02) 9922 6869,North Sydney Council,"Urinary tract infection, Oral contraceptive pill"
North Wyong,Chemist Outlet North Wyong,"Unit 9 D&E, Amy Close",2259,(02) 4351 3688,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Northbridge,Northbridge Pharmacy,"Shop 2, 115 Sailors Bay Road",2063,(02) 9958 7229,City of Willoughby,"Urinary tract infection, Oral contraceptive pill"
Northbridge,Blooms the Chemist Northbridge,"Shop 13, Northbridge Plaza, 133 Sailors Bay Road",2063,(02) 9958 8646,City of Willoughby,"Urinary tract infection, Oral contraceptive pill"
Nowra,Chemist Warehouse Nowra Junction,"Shops 1-6, 83-87 Junction Street",2541,(02) 8381 4526,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
